,ccComp0,ccSolve0,cc_pol_tax,cc_pol_car,cc4_world,cc4_wealthUS,cc4_poorUS,cc4_comm
ccComp0,1.0,0.6345791792394399,0.5147659298221833,0.4661659948260936,0.31182377616209606,0.24649501250781625,0.3079223395263456,0.26651791656032736
ccSolve0,0.6345791792394399,1.0,0.6433396583267398,0.5853489021585829,0.3990052781610071,0.2981222004371992,0.3347578093072437,0.2608341384304026
cc_pol_tax,0.5147659298221833,0.6433396583267398,1.0,0.6495082773420225,0.32990713530178406,0.2210645239026813,0.2566726988210381,0.2064730745456499
cc_pol_car,0.4661659948260936,0.5853489021585829,0.6495082773420225,1.0,0.33508695998765914,0.21671574307530306,0.2813091972047061,0.18320954311501383
cc4_world,0.31182377616209606,0.3990052781610071,0.32990713530178406,0.33508695998765914,1.0,0.5148697286614419,0.545129642318338,0.4899093024038714
cc4_wealthUS,0.24649501250781625,0.2981222004371992,0.2210645239026813,0.21671574307530306,0.5148697286614419,1.0,0.5472257525195877,0.6612972014918701
cc4_poorUS,0.3079223395263456,0.3347578093072437,0.2566726988210381,0.2813091972047061,0.545129642318338,0.5472257525195877,1.0,0.5426116560465366
cc4_comm,0.26651791656032736,0.2608341384304026,0.2064730745456499,0.18320954311501383,0.4899093024038714,0.6612972014918701,0.5426116560465366,1.0
